	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
?|729884	2.4855	1.8789	0.384	0.5683	3.69	0.6029	3.698	5.6818	4.2701	0.8884	0.0	4.902	1.3937	0.7092	1.956	5.6915	0.0	0.5896	409.2583	106.0948	476.288	501.5882	2755.774	15.66	76.3952	396.0931	0.9606	1095.0996	46.7578	105.8058	341.556	167.3851	78.4114	26.8456	34.5294	1.9036
?|90288	50.5385	782.8781	7.2965	182.4123	219.1882	303.8433	108.7827	24.3506	29.891	118.1586	79.6942	7.0028	16.7247	103.5461	28.0359	61.4684	6.8337	27.7123	3.6823	62.3025	7.9154	1.0205	7.8624	21.6257	16.5739	0.4156	35.0624	7.3842	4.4111	4.3407	1.8975	15.8046	17.3116	23.4899	26.561	17.132
A2M|2	116544.9959	77953.782	73240.7488	119507.7767	46490.7306	63109.7151	133594.6379	147059.9432	135432.6125	106784.4768	55831.1499	117781.3305	113644.1812	50136.0638	106528.3782	68335.7314	89846.3554	83907.9658	73887.8906	49523.1828	9562.5793	23954.2703	24111.5381	18082.4161	24295.8436	18739.3724	26540.4515	16616.6368	4956.7446	22003.771	9333.4725	29278.7141	40393.0448	47573.8121	25386.9778	53442.8299
AADAC|13	77.0505	125.8868	72.9647	519.9602	571.9557	82.5923	313.7134	226.461	50.7672	176.4975	117.1973	35.014	297.561	794.3262	37.8158	457.029	151.101	93.1604	3.1562	8.1264	0.5459	0.0	32.9238	19.3885	209.5041	4.1563	1767.5312	1.3426	0.0	5.9685	0.4744	408.7644	8.6558	181.8792	26.561	95.8122
ABCA10|10349	19.0555	95.9871	9.2166	52.8484	30.9963	10.2487	35.131	66.5584	36.0589	53.3046	42.9724	25.2101	17.0732	51.0638	31.9478	12.5213	28.8535	79.7347	1.0521	23.9278	1.6377	1.0205	2.9484	3.7286	9.0638	7.8969	39.8655	17.006	1.3233	2.1704	7.5901	7.9023	11.7108	14.7651	5.3122	11.4213
ABCA17P|650655	4.971	3.7578	0.768	2.2731	0.738	0.6029	2.1572	0.8117	1.4234	2.3691	2.3439	2.8011	5.5749	2.8369	1.304	6.2607	4.5558	6.4858	121.515	9.4808	1.6377	0.0	35.8722	2.2371	1.2948	0.0	40.8261	4.2515	5.2933	66.739	5.6926	3.592	49.389	26.1745	1.3281	2.5381
ABCA3|21	31225.3521	8363.0175	32078.341	24995.0277	9845.0185	26750.2638	13218.7982	22324.6753	15167.5318	27372.5187	19440.6952	18035.014	35417.77	25565.9574	24895.8435	34482.6409	41981.0175	16029.4811	4247.2383	2728.2167	619.8567	2251.7891	8907.1253	8132.7368	7414.9942	2084.788	2555.7157	2112.3294	3161.0057	2278.8931	2904.649	9451.8678	3303.4623	1785.2349	851.2814	14957.4873
ABCA4|24	33.9685	31.9414	51.8433	14.2066	11.0701	58.4778	18.49	8.1169	19.4529	22.5064	7.0318	18.9076	16.0279	19.8582	30.6438	14.798	9.1116	12.3821	78.9058	2178.781	34.118	349.0197	15.2334	25.3542	188.7867	7.0657	1949.5677	319.9821	13.6745	118.828	11.8596	11.4943	14.2566	53.0201	10.6244	8.8832
ABCA6|23460	267.6056	335.0718	139.7849	583.0374	174.1697	71.7408	289.9846	387.987	389.0571	323.9737	166.4202	246.4986	220.9059	190.0709	421.1899	233.9215	316.6287	406.25	197.7906	348.0813	71.5114	63.7828	98.2801	10.44	84.1642	68.1629	301.633	247.9302	10.1456	53.1742	360.0569	48.8506	202.1385	171.8121	112.8844	201.7766
ABCA9|10350	159.9006	289.3518	62.596	411.9903	140.9594	44.6119	307.5501	404.2208	257.1572	226.5447	83.6008	147.7591	95.4704	153.9007	241.2388	64.8833	183.7509	212.8538	70.4892	117.3815	25.3838	9.695	37.3464	7.4571	18.6456	31.5877	70.1249	158.6485	5.2933	45.5779	33.2068	28.7356	122.1996	84.5638	41.1696	121.8274
ABCB1|5243	198.0116	448.4326	201.2289	783.0658	757.9336	456.9706	418.49	572.2403	157.9951	393.2697	106.2589	579.8319	125.0871	51.773	414.6699	92.7718	184.5103	245.283	49.9737	184.1986	74.2409	29.085	68.3047	23.1171	59.3034	24.9377	51.8732	46.3191	16.3211	39.0667	20.8729	32.3276	136.4562	95.9732	21.2488	237.3096
ABCC2|1244	0.8285	13.1524	1.5361	4.5461	12.5461	4.8229	4.6225	0.8117	3.3212	4.7382	8.5945	7.0028	3.8328	7.8014	5.216	6.2607	3.0372	15.3302	3.6823	6.772	15.0119	7.1437	1.9656	1146.9053	222.1934	18.7032	14.4092	4.9228	2.2056	2221.3782	17.0778	15.0862	2.0367	9.396	11.9525	27.2843
ABCC3|8714	840.0994	1639.66	1360.5991	767.7227	340.2214	2527.2042	618.1818	364.4481	966.9491	1074.6805	893.0438	400.5602	955.7491	465.2482	593.969	772.9084	776.7654	785.3774	3768.0168	6035.2144	2216.5814	6514.5234	3567.5676	3595.824	8871.941	3933.9152	4391.4505	3189.9754	1368.7693	2296.7987	3629.981	10732.0402	2731.6701	3851.0067	2454.2403	612.9442
ABCC8|6833	19.0555	4.3841	6.1444	2.8413	2.214	12.6601	16.3328	12.1753	1.8978	40.8669	10.9384	4.2017	18.1185	21.2766	19.5599	19.9203	12.1488	20.6368	0.526	9.4808	0.0	0.0	0.4914	1.4914	6.9921	0.4156	3.3622	0.0	29.1134	1.0852	0.0	3.592	2.0367	1.3423	0.0	86.2944
ABCG1|9619	2797.8459	688.3065	4221.1982	1695.6954	2151.2915	2532.63	2146.0709	2590.9091	2222.8443	3008.1578	2411.14	2527.3109	4190.5923	1896.4539	2738.3863	2192.3734	2867.8815	1393.2783	1602.3146	1399.0971	797.2706	620.4794	817.199	1347.5019	460.1839	465.0873	1306.9164	1034.2358	629.9074	370.5914	810.7211	447.5575	877.2912	1166.443	673.3224	1497.4619
ABCG2|9429	394.3662	186.0118	495.3917	252.8768	457.5646	411.7558	990.755	352.2727	524.2781	582.5011	269.5539	964.986	647.7352	236.8794	956.4792	272.6238	231.5869	482.9009	117.3067	117.3815	28.3862	109.7065	135.6265	120.8054	149.1648	46.5503	100.8646	57.0597	23.82	608.79	91.0816	38.7931	291.2424	75.1678	111.5564	262.6904
ABI3BP|25890	3447.3902	3761.5729	1999.616	3160.108	2117.3432	1347.4002	4017.5655	4459.4156	4128.7494	5045.5792	2311.1316	2764.7059	2322.9965	2592.1986	6179.6251	2223.6767	2990.8884	4494.6934	874.8027	2511.0609	272.3985	139.3017	532.6781	155.1081	614.2691	367.4148	1007.2046	463.4146	40.5823	216.4948	233.3966	383.6207	1013.7475	1189.2617	679.9627	2211.2944
ABLIM3|22885	980.116	757.826	614.8233	831.9364	849.4465	760.211	1712.7889	1235.3896	1412.4669	1176.8477	820.3814	1383.0532	1427.1777	731.9149	1215.3219	867.3876	954.4419	1315.4481	563.9137	241.9865	298.6012	526.0808	1101.2285	185.6823	512.2362	104.3225	263.2085	140.2998	101.8968	194.2485	545.0664	218.3908	456.721	251.0067	152.726	674.4924
ACADL|33	298.2601	253.0262	344.086	630.2032	506.2731	285.7573	313.0971	538.961	349.6769	339.6689	448.4752	521.7087	637.2822	1019.1489	634.3928	313.6027	813.2118	574.2925	6.8385	23.0248	1.0918	0.0	54.5455	86.5026	109.284	12.8845	50.9126	2.4614	1.7644	11.9371	6.167	287.3563	45.8248	10.0671	9.2964	168.1472
ACMSD|130013	0.0	0.0	2.3041	2.8413	0.0	1.2057	0.0	0.0	0.0	0.2961	0.0	0.0	0.0	0.0	0.652	0.0	0.0	0.0	6.8385	0.4515	0.5459	2.5513	0.4914	2.9828	34.1836	3.325	0.4803	0.4475	0.0	0.0	3.3207	12.931	2.0367	0.0	3.9842	0.0
ACOXL|55289	324.7722	150.9389	289.5545	311.4079	278.9668	314.6948	185.8243	252.4351	126.2063	103.3518	340.6536	268.2073	265.5052	384.3972	280.3586	168.469	273.3485	193.3962	23.6718	56.8849	2.7294	0.5103	75.1843	32.8113	30.817	20.7814	145.5331	39.6062	3.0878	14.65	0.9488	121.408	108.4521	175.8389	10.6244	64.0863
ACR|49	11.599	6.263	15.361	4.5461	2.214	6.0286	10.7858	9.7403	5.6935	5.9227	7.0318	11.9048	9.0592	8.5106	14.3439	9.6756	3.0372	15.9198	0.526	2.2573	1.6377	4.0821	2.9484	3.7286	1.5538	0.4156	1.4409	0.4475	2.2056	10.8519	2.3719	1.4368	9.165	0.6711	10.6244	3.1726
ACSBG1|23205	19.884	239.8739	4.6083	44.3245	190.4059	102.4868	43.1433	22.7273	11.387	52.7124	25.7834	10.5042	8.0139	40.4255	17.6039	39.2715	6.0744	20.0472	3.1562	17.1558	0.5459	1.5308	6.8796	2.2371	8.8049	2.9094	13.9289	2.6852	0.0	0.5426	5.6926	3.592	6.11	15.4362	7.9683	4.4416
ACSM1|116285	40.5965	18.7891	22.6575	3.9778	72.3247	40.9947	9.5532	34.9026	21.3507	65.4462	10.9384	25.2101	13.9373	7.0922	16.2999	16.5054	34.9279	15.3302	12.0989	2.7088	8.1883	3.0616	28.9926	29.0828	18.1277	6.2344	22.0941	16.3348	2.6467	6.5111	17.5522	3.592	14.2566	23.4899	5.3122	5.0761
ACTG2|72	3028.169	955.1113	1075.2688	497.2297	1203.69	1280.4823	1670.5701	458.6039	1227.902	826.814	371.1249	733.8936	1607.6655	1853.9007	1219.2339	524.189	350.038	488.2075	538.6639	244.6953	981.508	961.3348	504.1769	426.5474	615.046	39.9002	431.7963	404.1173	70.1367	689.0939	1314.9905	114.9425	395.112	351.6779	159.3663	218.2741
